"SNR","prop_relevant","TPR_lasso","TPR_selinf","FDR_lasso","FDR_selinf","num_sel_lasso","num_sel_selinf"
4,0.1,1,1,0.3125,0,16,11
4,0.1,0.545454545454545,0.545454545454545,0,0,6,6
4,0.1,0.636363636363636,0.363636363636364,0.222222222222222,0.2,9,5
4,0.1,0.909090909090909,0.727272727272727,0.230769230769231,0.2,13,10
4,0.1,1,0.909090909090909,0.266666666666667,0.0909090909090909,15,11
4,0.1,0.545454545454545,0.363636363636364,0,0,6,4
4,0.1,0.909090909090909,0.636363636363636,0.230769230769231,0,13,7
4,0.1,0.545454545454545,0.272727272727273,0,0,6,3
4,0.1,0.545454545454545,0.454545454545455,0,0,6,5
4,0.1,0.909090909090909,0.818181818181818,0.411764705882353,0.181818181818182,17,11
4,0.1,0.818181818181818,0.636363636363636,0.1,0,10,7
4,0.1,1,1,0.3125,0,16,11
4,0.1,0.818181818181818,0.818181818181818,0,0,9,9
4,0.1,0.818181818181818,0.818181818181818,0.4,0.1,15,10
4,0.1,1,1,0,0,11,11
4,0.1,0.818181818181818,0.636363636363636,0.357142857142857,0,14,7
4,0.1,1,0.727272727272727,0.476190476190476,0,21,8
4,0.1,0.727272727272727,0.545454545454545,0.2,0,10,6
4,0.1,1,1,0.266666666666667,0,15,11
4,0.1,0.909090909090909,0.363636363636364,0.375,0.2,16,5
4,0.1,0.909090909090909,0.545454545454545,0.0909090909090909,0,11,6
4,0.1,0.727272727272727,0.636363636363636,0,0,8,7
4,0.1,0.909090909090909,0.818181818181818,0.166666666666667,0,12,9
4,0.1,0.909090909090909,0.818181818181818,0.473684210526316,0,19,9
4,0.1,0.454545454545455,0.363636363636364,0,0,5,4
4,0.1,0.818181818181818,0.545454545454545,0.181818181818182,0,11,6
4,0.1,0.727272727272727,0.454545454545455,0.384615384615385,0,13,5
4,0.1,0.636363636363636,0.363636363636364,0,0,7,4
4,0.1,0.909090909090909,0.909090909090909,0.411764705882353,0.166666666666667,17,12
4,0.1,0.727272727272727,0.545454545454545,0,0,8,6
4,0.1,0.818181818181818,0.545454545454545,0.181818181818182,0,11,6
4,0.1,1,0.818181818181818,0.45,0,20,9
4,0.1,0.818181818181818,0.454545454545455,0.357142857142857,0.166666666666667,14,6
4,0.1,1,1,0.3125,0,16,11
4,0.1,0.272727272727273,0.181818181818182,0,0,3,2
4,0.1,1,1,0,0,11,11
4,0.1,0.818181818181818,0.818181818181818,0.1,0,10,9
4,0.1,0.727272727272727,0.636363636363636,0,0,8,7
4,0.1,0.818181818181818,0.363636363636364,0.307692307692308,0,13,4
4,0.1,0.818181818181818,0.727272727272727,0.1,0,10,8
4,0.1,0.727272727272727,0.545454545454545,0.111111111111111,0,9,6
4,0.1,0.909090909090909,0.636363636363636,0.230769230769231,0.125,13,8
4,0.1,0.363636363636364,0.272727272727273,0,0,4,3
4,0.1,0.545454545454545,0.363636363636364,0,0,6,4
4,0.1,0.909090909090909,0.363636363636364,0.0909090909090909,0,11,4
4,0.1,0.909090909090909,0.727272727272727,0.333333333333333,0,15,8
4,0.1,1,0.909090909090909,0.45,0.0909090909090909,20,11
4,0.1,1,1,0.214285714285714,0,14,11
4,0.1,1,1,0.388888888888889,0,18,11
4,0.1,0.818181818181818,0.818181818181818,0,0,9,9
4,0.2,0.476190476190476,0.0476190476190476,0,0,10,1
4,0.2,0.714285714285714,0.19047619047619,0.210526315789474,0,19,4
4,0.2,0.476190476190476,0.285714285714286,0.230769230769231,0.142857142857143,13,7
4,0.2,0.380952380952381,0.19047619047619,0,0,8,4
4,0.2,0.428571428571429,0.0952380952380952,0.1,0,10,2
4,0.2,0.714285714285714,0.238095238095238,0.25,0,20,5
4,0.2,0.619047619047619,0.238095238095238,0.277777777777778,0,18,5
4,0.2,0.285714285714286,0.19047619047619,0.333333333333333,0.428571428571429,9,7
4,0.2,0.714285714285714,0.0952380952380952,0.318181818181818,0.333333333333333,22,3
4,0.2,0.857142857142857,0.476190476190476,0.307692307692308,0,26,10
4,0.2,0.523809523809524,0.380952380952381,0.266666666666667,0,15,8
4,0.2,0.619047619047619,0.142857142857143,0.35,0.25,20,4
4,0.2,0.619047619047619,0.333333333333333,0.1875,0,16,7
4,0.2,0.619047619047619,0.428571428571429,0.35,0,20,9
4,0.2,0.333333333333333,0.19047619047619,0.125,0,8,4
4,0.2,0.571428571428571,0.238095238095238,0.142857142857143,0,14,5
4,0.2,0.428571428571429,0.0952380952380952,0.307692307692308,0,13,2
4,0.2,0.666666666666667,0.238095238095238,0.125,0,16,5
4,0.2,0.571428571428571,0.428571428571429,0.0769230769230769,0,13,9
4,0.2,0.523809523809524,0.19047619047619,0.45,0,20,4
4,0.2,0.333333333333333,0.0476190476190476,0,0,7,1
4,0.2,0.619047619047619,0.238095238095238,0.35,0,20,5
4,0.2,0.714285714285714,0.142857142857143,0.25,0,20,3
4,0.2,0.761904761904762,0.333333333333333,0.2,0.125,20,8
4,0.2,0.761904761904762,0.333333333333333,0.157894736842105,0,19,7
4,0.2,0.523809523809524,0.285714285714286,0.153846153846154,0,13,6
4,0.2,0.571428571428571,0.19047619047619,0.294117647058824,0,17,4
4,0.2,0.761904761904762,0.476190476190476,0.157894736842105,0,19,10
4,0.2,0.476190476190476,0.142857142857143,0.0909090909090909,0,11,3
4,0.2,0.380952380952381,0.0952380952380952,0.111111111111111,0,9,2
4,0.2,0.476190476190476,0.238095238095238,0.333333333333333,0,15,5
4,0.2,0.666666666666667,0.380952380952381,0.263157894736842,0.111111111111111,19,9
4,0.2,0.571428571428571,0.0952380952380952,0.2,0,15,2
4,0.2,0.619047619047619,0.285714285714286,0.1875,0,16,6
4,0.2,0.761904761904762,0.619047619047619,0.272727272727273,0.235294117647059,22,17
4,0.2,0.714285714285714,0.0952380952380952,0.318181818181818,0.333333333333333,22,3
4,0.2,0.523809523809524,0.333333333333333,0.352941176470588,0.3,17,10
4,0.2,0.285714285714286,0.0476190476190476,0.333333333333333,0,9,1
4,0.2,0.857142857142857,0.380952380952381,0.142857142857143,0,21,8
4,0.2,0.714285714285714,0.380952380952381,0.375,0,24,8
4,0.2,0.619047619047619,0.142857142857143,0.235294117647059,0,17,3
4,0.2,0.666666666666667,0.428571428571429,0.391304347826087,0.1,23,10
4,0.2,0.476190476190476,0.238095238095238,0.230769230769231,0,13,5
4,0.2,0.714285714285714,0.238095238095238,0.117647058823529,0,17,5
4,0.2,0.714285714285714,0.238095238095238,0.545454545454545,0,33,5
4,0.2,0.523809523809524,0.142857142857143,0.388888888888889,0.25,18,4
4,0.2,0.761904761904762,0.238095238095238,0.304347826086957,0,23,5
4,0.2,0.380952380952381,0.142857142857143,0.333333333333333,0,12,3
4,0.2,0.476190476190476,0.19047619047619,0.166666666666667,0,12,4
4,0.2,0.476190476190476,0.19047619047619,0.230769230769231,0,13,4
4,0.3,0.419354838709677,0.0967741935483871,0.277777777777778,0.25,18,4
4,0.3,0.516129032258065,0.161290322580645,0.272727272727273,0.166666666666667,22,6
4,0.3,0.483870967741935,0.193548387096774,0.318181818181818,0.142857142857143,22,7
4,0.3,0.548387096774194,0.193548387096774,0.15,0,20,6
4,0.3,0.645161290322581,0.129032258064516,0.2,0,25,4
4,0.3,0.354838709677419,0.0645161290322581,0.421052631578947,0.5,19,4
4,0.3,0.419354838709677,0.0967741935483871,0.133333333333333,0,15,3
4,0.3,0.612903225806452,0.129032258064516,0.173913043478261,0,23,4
4,0.3,0.419354838709677,0.129032258064516,0.1875,0,16,4
